masterid,year,crop,volume_m3,area_m2,depth_m,system
sheridan,1997,2,143244.0324,485623.2,0.2949702,3
null_geo9,1997,2,114602.6268,485623.2,0.2359914,3
null_geo9,1997,2,319903.038,667731.9,0.479090182,4
sheridan,1997,25,210086.3136,955058.96,0.21997261,4
sheridan,1997,25,186021.1188,728434.8,0.2553716,4
null_geo9,1997,2,110976.1956,465388.9,0.238459617,3
sheridan,1997,2,150903.9432,485623.2,0.3107436,4
sheridan,1997,2,234669.57,687966.2,0.341107059,6
null_geo9,1997,2,133018.4832,526091.8,0.252843323,3
null_geo9,1997,2,365221.0932,971246.4,0.3760343,3
sheridan,1997,2,113566.5036,485623.2,0.2338578,4
null_geo9,1997,2,207681.0276,505857.5,0.410553408,4
null_geo9,1997,4,125099.5416,485623.2,0.2576068,3
sheridan,1997,2,165347.994,364217.4,0.453982667,1
sheridan,1997,2,126900.4224,465388.9,0.27267673,3
null_geo9,1997,2,230981.4648,485623.2,0.4756404,4
sheridan,1997,2,236149.746,586794.7,0.402441103,1
sheridan,1997,2,204412.3056,627263.3,0.325880361,1
sheridan,1997,2,107312.76,485623.2,0.22098,3
null_geo9,1997,2,157281.0348,485623.2,0.3238754,4
null_geo9,1997,2,139654.6056,493716.92,0.282864393,4
sheridan,1997,2,221446.6644,534185.52,0.414551091,3
sheridan,1997,2,134918.0424,493716.92,0.273270689,4
null_geo9,1997,2,154715.3964,526091.8,0.294085108,3
sheridan,1997,5,110717.1648,437060.88,0.253322667,1
sheridan,1997,2,221446.6644,534185.52,0.414551091,3
sheridan,1997,2,147178.8336,550372.96,0.267417176,6
null_geo9,1997,3,115157.6928,526091.8,0.218893292,4
null_geo9,1997,2,327266.9136,728434.8,0.4492752,3
sheridan,1997,2,115601.7456,489670.06,0.236081455,3
null_geo9,1997,2,193619.3556,485623.2,0.3987038,4
null_geo9,1997,2,156170.9028,485623.2,0.3215894,3
null_geo9,1997,2,168271.3416,465388.9,0.361572313,3
sheridan,1997,2,266419.3452,526091.8,0.506413477,4
null_geo9,1997,2,201143.5836,420873.44,0.477920538,4
sheridan,1997,2,142812.3144,485623.2,0.2940812,3
sheridan,1997,24,139605.2664,501810.64,0.278203742,3
sheridan,1997,2,135818.4828,505857.5,0.268492224,4
null_geo9,1997,2,165162.972,505857.5,0.32650176,4
null_geo9,1997,2,144909.2304,485623.2,0.2983992,4
null_geo9,1997,2,246794.6784,485623.2,0.5082032,3
sheridan,1997,25,266419.3452,546326.1,0.487657422,6
null_geo9,1997,2,198664.2888,493716.92,0.402385967,3
sheridan,1997,2,266419.3452,526091.8,0.506413477,4
null_geo9,1997,2,143885.442,485623.2,0.296291,4
null_geo9,1997,2,408824.6112,708200.5,0.577273783,1
sheridan,1997,2,174352.398,485623.2,0.359029,4
sheridan,1997,24,132599.1,501810.64,0.264241935,3
sheridan,1997,16,142133.9004,477529.48,0.297644949,3
null_geo9,1997,-99,0,0,0,-99
sheridan,1997,2,266419.3452,526091.8,0.506413477,4
sheridan,1997,2,158082.7968,550372.96,0.287229176,3
sheridan,1997,-99,0,0,0,-99
null_geo9,1997,2,136163.8572,445154.6,0.305880655,4
null_geo9,1997,2,160167.378,445154.6,0.359802545,4
sheridan,1997,2,170590.284,546326.1,0.312250667,3
sheridan,1997,2,232807.0152,582747.84,0.399499667,4
null_geo9,1997,2,156035.22,428967.16,0.36374717,4
sheridan,1997,2,266419.3452,566560.4,0.470241086,4
sheridan,1997,2,212146.2252,728434.8,0.2912364,4
sheridan,1997,2,138692.4912,485623.2,0.2855976,3
sheridan,1997,24,173044.9092,566560.4,0.305431371,4
null_geo9,1997,2,343030.788,979340.12,0.350268099,4
null_geo9,1997,2,238481.0232,546326.1,0.436518756,1
null_geo9,1997,2,156257.2464,465388.9,0.335757078,3
null_geo9,1997,25,137915.3988,971246.4,0.1419987,4
sheridan,1997,-99,0,0,0,-99
sheridan,1997,9,119240.5116,485623.2,0.2455418,4
null_geo9,1997,2,548503.8864,1040043.02,0.527387019,6
sheridan,1997,2,216673.0968,627263.3,0.34542689,1
sheridan,1997,2,163769.1396,505857.5,0.323746368,4
sheridan,1997,16,38151.5364,64749.76,0.5892165,1
sheridan,1997,-99,0,0,0,-99
